name,stars,forks,monthly_commits,open_issues,closed_issues,resolution_rate,last_updated,created_at,age_days,primary_language,open_pr,closed_pr,merged_pr,avg_merge_time_days
IPUMS.jl,2,1,1,11,20,0.645,2025-04-09 18:17,2024-03-14,412,Julia,3,1,19,18.82
EpiJ,2,1,0,0,0,0.0,2022-02-12 12:58,2022-01-26,1190,Julia,0,0,0,
OMOPVocabMapper.jl,1,0,0,1,12,0.923,2024-10-18 01:53,2023-06-09,691,Julia,0,0,9,0.0
HealthMLBase.jl,1,0,0,0,22,1.0,2021-09-05 21:25,2020-05-03,1823,Julia,0,2,19,0.03
DiagnosisClassification.jl,1,0,0,0,14,1.0,2022-09-06 21:54,2022-03-13,1144,Julia,0,0,13,0.02
CloToP.jl,1,0,0,0,0,0.0,2025-02-24 09:26,2024-04-26,369,HTML,0,0,0,
OMOPCDMDatabaseConnector.jl,1,0,0,1,1,0.5,2022-06-29 17:31,2022-06-29,1036,Julia,0,0,0,
WrapperITKIO.jl,1,0,0,0,0,0.0,2024-09-08 06:39,2024-09-06,236,Julia,0,0,0,
OMOPCDMMetrics,1,0,0,5,0,0.0,2024-02-22 20:50,2024-01-15,471,Julia,5,0,0,
DICOMClient.jl,1,2,0,3,17,0.85,2022-05-02 07:48,2020-08-03,1731,Julia,3,4,12,0.01
ITKIOWrapper.jl,1,1,2,0,6,1.0,2025-04-15 07:52,2024-09-06,236,Julia,0,1,5,8.14
NCEI.jl,0,0,0,0,0,0.0,2024-03-18 16:56,2024-03-18,408,,0,0,0,
FHIRClientXML.jl,0,0,0,0,9,1.0,2021-03-16 17:14,2021-03-16,1506,Julia,0,1,7,0.01
SMARTBackendServices.jl,0,1,0,0,18,1.0,2024-12-01 12:33,2021-02-22,1528,Julia,0,2,15,26.75
DateShifting.jl,0,0,0,1,12,0.923,2021-07-28 20:27,2020-07-06,1759,Julia,1,0,12,0.01
juliahealth.github.io-previews,0,0,0,0,1,1.0,2020-12-26 00:26,2020-05-01,1825,,0,0,1,0.0
ITKIOWrapp.jl,0,0,0,0,9,1.0,2024-09-08 06:40,2024-07-10,294,Julia,0,4,5,0.07
EHRAuthentication.jl,0,0,0,0,18,1.0,2022-02-12 12:56,2022-02-12,1173,Julia,0,0,16,0.21
FHIRClientJSON.jl,0,0,0,0,15,1.0,2021-03-16 14:14,2020-11-26,1616,Julia,0,3,10,0.02
BlindingIndex.jl,0,0,0,0,0,0.0,2025-02-12 11:51,2024-09-03,239,Julia,0,0,0,
MTIWrapper.jl,0,1,0,0,2,1.0,2021-03-20 01:20,2017-11-20,2718,Java,0,1,1,0.1
